TDA Feature,avg_path_length,diameter,loop_count,small_world_index,avg_clustering
H0_count,-0.574*** (0.162),-1.630*** (0.473),-0.016 (0.017),0.017*** (0.003),0.001*** (0.000)
H0_total_life,2.752** (1.352),6.953* (3.958),0.018 (0.143),-0.114*** (0.025),-0.003*** (0.001)
H0_max_life,-154.095 (277.307),-231.212 (811.591),0.372 (29.320),3.665 (5.192),0.241 (0.216)
H0_mean_life,-839.863** (359.230),-2756.438*** (1051.356),-34.889 (37.982),31.323*** (6.726),1.036*** (0.280)
H0_entropy,55.118 (44.910),189.029 (131.439),5.000 (4.748),0.016 (0.841),0.020 (0.035)
H0_skewness,53.283** (21.921),185.687*** (64.157),-4.688** (2.318),-0.691* (0.410),-0.039** (0.017)
H0_max_birth,-0.000*** (0.000),-0.000*** (0.000),0.000 (0.000),0.000*** (0.000),0.000*** (0.000)
H0_max_death,-154.095 (277.307),-231.212 (811.591),0.372 (29.320),3.665 (5.192),0.241 (0.216)
H1_count,-0.246 (0.314),-0.512 (0.920),0.020 (0.033),0.006 (0.006),0.000 (0.000)
H1_total_life,5.592 (7.085),13.006 (20.736),-0.042 (0.749),-0.071 (0.133),-0.003 (0.006)
H1_max_life,6.727 (68.174),59.072 (199.525),4.676 (7.208),-0.530 (1.276),-0.043 (0.053)
H1_mean_life,-1294.416 (949.958),-3732.564 (2780.233),99.592 (100.440),13.351 (17.786),0.546 (0.741)
H1_entropy,11.111 (18.935),20.267 (55.417),-1.400 (2.002),-0.463 (0.355),-0.027* (0.015)
H1_skewness,-1.745 (7.929),-5.332 (23.205),0.270 (0.838),0.004 (0.148),0.001 (0.006)
H1_max_birth,-145.854** (59.432),-348.294** (173.939),11.215* (6.284),1.893* (1.113),0.096** (0.046)
H1_max_death,152.151** (65.858),420.126** (192.746),-4.670 (6.963),-0.991 (1.233),-0.052 (0.051)
H0_betti_peak,-0.574*** (0.162),-1.630*** (0.473),-0.016 (0.017),0.017*** (0.003),0.001*** (0.000)
H0_betti_location,-746.942** (364.268),-2301.343** (1066.099),51.639 (38.515),17.222** (6.820),0.747*** (0.284)
H0_betti_width,22.753 (84.223),215.871 (246.495),9.740 (8.905),0.146 (1.577),0.001 (0.066)
H0_betti_centroid,1942.316** (754.756),6448.356*** (2208.937),-93.500 (79.801),-39.628*** (14.132),-1.661*** (0.589)
H0_betti_spread,-1923.854** (775.412),-6053.033*** (2269.390),110.988 (81.985),39.033*** (14.518),1.690*** (0.605)
H0_betti_trend,133.636 (137.196),153.073 (401.530),-8.063 (14.506),0.014 (2.569),0.080 (0.107)
H1_betti_peak,-0.235 (0.318),-0.588 (0.931),-0.039 (0.034),0.001 (0.006),0.000 (0.000)
H1_betti_location,1.748 (12.844),-12.882 (37.592),-0.289 (1.358),0.022 (0.240),-0.001 (0.010)
H1_betti_width,6.254 (8.005),15.239 (23.429),-0.714 (0.846),-0.117 (0.150),-0.003 (0.006)
H1_betti_centroid,30.332 (27.343),91.457 (80.024),-0.530 (2.891),0.295 (0.512),0.014 (0.021)
H1_betti_spread,-105.349** (49.969),-341.573** (146.243),15.232*** (5.283),1.146 (0.936),0.047 (0.039)
H1_betti_trend,-1.069 (7.300),1.123 (21.366),-0.401 (0.772),0.179 (0.137),0.010* (0.006)
H0_landscape_mean,-25.682 (46.218),-38.535 (135.265),0.062 (4.887),0.611 (0.865),0.040 (0.036)
H0_landscape_max,-77.047 (138.653),-115.606 (405.795),0.186 (14.660),1.832 (2.596),0.121 (0.108)
H0_landscape_area,1409.384 (1692.338),3129.122 (4952.948),9.097 (178.933),-31.454 (31.686),-1.857 (1.320)
H1_landscape_mean,74.137 (321.593),445.364 (941.204),50.293 (34.002),9.246 (6.021),0.450* (0.251)
H1_landscape_max,3.363 (34.087),29.536 (99.763),2.338 (3.604),-0.265 (0.638),-0.022 (0.027)
H1_landscape_area,291.310 (645.669),394.270 (1889.674),-159.127** (68.268),-13.800 (12.089),-0.421 (0.504)
const,101.717 (312.456),-349.278 (914.461),-22.646 (33.036),-8.125 (5.850),-0.333 (0.244)
