TDA Feature,avg_path_length,diameter,loop_count,small_world_index,avg_clustering
H0_count,-0.354** (0.137),-1.140*** (0.403),0.011 (0.014),0.005*** (0.002),0.000*** (0.000)
H0_total_life,0.954 (0.719),2.159 (2.110),-0.178** (0.073),-0.016* (0.008),-0.001** (0.000)
H0_max_life,-309.140 (335.557),-562.240 (984.489),21.919 (34.117),-1.775 (3.921),-0.014 (0.215)
H0_mean_life,-364.933 (271.627),-1326.720* (796.925),37.412 (27.617),10.574*** (3.174),0.550*** (0.174)
H0_entropy,78.678* (45.668),302.068** (133.984),2.388 (4.643),-0.887* (0.534),-0.020 (0.029)
H0_skewness,18.263 (17.985),27.515 (52.767),-0.412 (1.829),-0.182 (0.210),0.003 (0.012)
H0_max_birth,0.000 (0.000),0.000 (0.000),-0.000 (0.000),0.000 (0.000),0.000 (0.000)
H0_max_death,-309.140 (335.557),-562.240 (984.489),21.919 (34.117),-1.775 (3.921),-0.014 (0.215)
H1_count,0.199 (0.229),0.697 (0.673),-0.001 (0.023),-0.001 (0.003),0.000 (0.000)
H1_total_life,1.167 (5.358),3.725 (15.720),0.068 (0.545),-0.032 (0.063),-0.003 (0.003)
H1_max_life,-118.154 (87.532),-276.467 (256.809),9.951 (8.900),0.666 (1.023),0.023 (0.056)
H1_mean_life,626.263 (616.418),1895.488 (1808.506),-22.530 (62.674),-6.347 (7.203),-0.119 (0.395)
H1_entropy,-8.276 (17.857),-36.130 (52.389),-0.212 (1.816),0.064 (0.209),-0.014 (0.011)
H1_skewness,4.963 (7.555),10.581 (22.165),-0.493 (0.768),-0.093 (0.088),-0.003 (0.005)
H1_max_birth,-85.042 (74.657),-260.920 (219.035),4.958 (7.591),-1.988** (0.872),-0.131*** (0.048)
H1_max_death,114.706 (86.623),307.892 (254.142),-4.292 (8.807),1.397 (1.012),0.098* (0.055)
H0_betti_peak,-0.354** (0.137),-1.140*** (0.403),0.011 (0.014),0.005*** (0.002),0.000*** (0.000)
H0_betti_location,-285.924 (328.779),-666.793 (964.604),-2.187 (33.428),1.762 (3.842),-0.135 (0.210)
H0_betti_width,24.088 (89.698),119.580 (263.165),-12.456 (9.120),-2.396** (1.048),-0.133** (0.057)
H0_betti_centroid,770.234 (676.851),2239.231 (1985.812),-16.676 (68.818),-11.858 (7.909),-0.212 (0.433)
H0_betti_spread,-870.041 (641.520),-2027.477 (1882.153),9.366 (65.226),7.299 (7.496),-0.024 (0.411)
H0_betti_trend,-3.185 (138.142),208.908 (405.295),-11.528 (14.045),-1.607 (1.614),-0.188** (0.088)
H1_betti_peak,-0.619* (0.333),-1.940** (0.976),0.028 (0.034),0.009** (0.004),0.000* (0.000)
H1_betti_location,-1.777 (17.663),5.722 (51.821),-1.451 (1.796),0.021 (0.206),-0.001 (0.011)
H1_betti_width,-9.091 (9.438),-26.541 (27.689),-2.542*** (0.960),0.068 (0.110),0.002 (0.006)
H1_betti_centroid,-6.994 (31.916),-31.206 (93.640),6.469** (3.245),-0.071 (0.373),-0.003 (0.020)
H1_betti_spread,4.703 (70.096),2.782 (205.656),7.276 (7.127),-0.236 (0.819),-0.042 (0.045)
H1_betti_trend,4.850 (8.597),16.472 (25.224),0.399 (0.874),-0.043 (0.100),-0.004 (0.006)
H0_landscape_mean,-51.523 (55.926),-93.707 (164.082),3.653 (5.686),-0.296 (0.653),-0.002 (0.036)
H0_landscape_max,-154.570 (167.778),-281.120 (492.245),10.960 (17.059),-0.887 (1.960),-0.007 (0.107)
H0_landscape_area,2220.429 (2000.528),4688.162 (5869.343),-144.066 (203.401),1.007 (23.376),-0.341 (1.281)
H1_landscape_mean,-144.950 (409.846),-673.440 (1202.447),28.228 (41.671),-4.700 (4.789),-0.179 (0.262)
H1_landscape_max,-59.077 (43.766),-138.234 (128.405),4.976 (4.450),0.333 (0.511),0.011 (0.028)
H1_landscape_area,-99.413 (777.649),-315.892 (2281.541),-83.828 (79.067),11.947 (9.087),0.438 (0.498)
const,3.152 (359.780),-365.461 (1055.558),-39.378 (36.580),4.759 (4.204),0.007 (0.230)
