Feature,deepseek-r1_32b,gpt-oss_120b,gpt-oss_20b,qwen3_32b
H0_count,0.001 (0.001),0.001 (0.001),0.001 (0.001),-0.000 (0.001)
H0_total_life,-0.007 (0.009),0.004 (0.003),-0.008** (0.004),-0.002 (0.010)
H0_max_life,-1.631 (1.641),0.096 (1.569),1.406 (1.181),0.555 (1.465)
H0_mean_life,3.494 (2.299),-0.663 (1.294),2.261* (1.178),-0.897 (2.809)
H0_entropy,-0.277 (0.277),-0.165 (0.219),0.107 (0.214),0.156 (0.532)
H0_skewness,0.011 (0.137),0.039 (0.085),-0.091 (0.076),-0.043 (0.138)
H0_max_birth,0.000 (0.000),0.000 (0.000),-0.000 (0.000),-0.000 (0.000)
H0_max_death,-1.631 (1.641),0.096 (1.569),1.406 (1.181),0.555 (1.465)
H1_count,0.000 (0.002),-0.003** (0.001),-0.001 (0.001),0.000 (0.002)
H1_total_life,-0.013 (0.042),0.025 (0.025),0.034 (0.025),0.027 (0.059)
H1_max_life,-0.430 (0.403),-0.275 (0.404),-0.033 (0.330),-0.097 (0.359)
H1_mean_life,-0.069 (5.629),1.260 (2.838),-5.808 (3.603),2.320 (7.535)
H1_entropy,0.116 (0.120),0.032 (0.085),-0.066 (0.075),-0.034 (0.143)
H1_skewness,0.068 (0.047),0.028 (0.035),-0.037 (0.028),0.008 (0.034)
H1_max_birth,-0.026 (0.362),0.991*** (0.354),-0.493* (0.262),0.311 (0.360)
H1_max_death,-0.251 (0.394),-0.653 (0.404),0.331 (0.318),-0.556 (0.454)
H0_betti_peak,0.001 (0.001),0.001 (0.001),0.001 (0.001),-0.000 (0.001)
H0_betti_location,0.046 (2.214),0.723 (1.534),3.608** (1.427),-0.798 (3.046)
H0_betti_width,-0.994* (0.508),0.334 (0.420),0.373 (0.402),0.047 (0.557)
H0_betti_centroid,-2.183 (4.645),-0.936 (3.157),-5.836** (2.900),1.712 (6.326)
H0_betti_spread,1.457 (4.755),0.748 (2.998),8.628*** (2.894),-1.020 (5.942)
H0_betti_trend,-0.637 (0.825),0.368 (0.658),-0.328 (0.564),0.619 (0.825)
H1_betti_peak,0.002 (0.002),0.003* (0.002),0.001 (0.001),-0.004* (0.002)
H1_betti_location,0.009 (0.076),0.098 (0.082),0.035 (0.087),-0.140 (0.088)
H1_betti_width,0.050 (0.047),0.037 (0.045),0.167*** (0.052),-0.024 (0.054)
H1_betti_centroid,0.075 (0.162),-0.033 (0.148),-0.101 (0.159),0.064 (0.211)
H1_betti_spread,-0.306 (0.305),0.841** (0.325),-0.651* (0.340),0.615 (0.384)
H1_betti_trend,-0.031 (0.044),0.005 (0.040),-0.045 (0.036),0.062 (0.046)
H0_landscape_mean,-0.272 (0.274),0.016 (0.262),0.234 (0.197),0.092 (0.244)
H0_landscape_max,-0.815 (0.821),0.048 (0.785),0.703 (0.590),0.277 (0.732)
H0_landscape_area,8.556 (10.035),-0.853 (9.339),-8.738 (7.057),-2.248 (8.137)
H1_landscape_mean,0.534 (1.928),-3.693* (1.896),-2.220 (1.514),-0.518 (2.287)
H1_landscape_max,-0.215 (0.201),-0.138 (0.202),-0.016 (0.165),-0.049 (0.179)
H1_landscape_area,-1.724 (3.879),1.259 (3.616),0.484 (3.223),-3.390 (3.648)
has_loop,-0.016 (0.031),0.007 (0.022),-0.048 (0.049),-0.112* (0.057)
loop_count,0.006 (0.005),-0.003 (0.004),-0.001 (0.002),0.003 (0.006)
diameter,-0.001 (0.001),0.000 (0.000),-0.001 (0.001),-0.000 (0.001)
avg_clustering,1.088 (1.639),0.623 (1.382),-0.568 (0.760),-1.465 (1.856)
avg_path_length,0.002 (0.002),-0.002 (0.001),0.002 (0.002),0.000 (0.002)
small_world_index,-0.071 (0.069),0.056 (0.082),0.043 (0.037),0.079 (0.084)
const,2.165 (1.886),0.850 (1.723),-1.594 (1.228),0.251 (3.157)
