TDA Feature,avg_path_length,diameter,loop_count,small_world_index,avg_clustering
H0_count,-0.763*** (0.177),-2.211*** (0.525),-0.005 (0.019),0.017*** (0.004),0.001*** (0.000)
H0_total_life,-0.433 (1.420),-1.009 (4.209),0.163 (0.149),0.054* (0.029),0.002 (0.001)
H0_max_life,399.378** (194.633),1036.204* (577.123),7.167 (20.409),-13.439*** (3.993),-0.389** (0.184)
H0_mean_life,-991.925*** (376.820),-3135.978*** (1117.343),-42.659 (39.514),20.818*** (7.731),0.585 (0.356)
H0_entropy,291.582*** (64.454),840.599*** (191.119),-5.899 (6.759),-8.009*** (1.322),-0.272*** (0.061)
H0_skewness,25.532 (19.405),106.005* (57.540),-1.092 (2.035),-0.364 (0.398),-0.012 (0.018)
H0_max_birth,0.000 (0.000),0.000 (0.000),-0.000 (0.000),-0.000 (0.000),-0.000 (0.000)
H0_max_death,399.378** (194.633),1036.204* (577.123),7.167 (20.409),-13.439*** (3.993),-0.389** (0.184)
H1_count,0.169 (0.346),0.285 (1.026),0.009 (0.036),-0.015** (0.007),-0.001** (0.000)
H1_total_life,-1.344 (8.294),4.626 (24.592),-0.965 (0.870),0.260 (0.170),0.010 (0.008)
H1_max_life,-16.513 (51.080),-77.542 (151.463),5.707 (5.356),0.330 (1.048),0.010 (0.048)
H1_mean_life,194.509 (1060.634),-615.621 (3144.980),135.569 (111.219),-25.606 (21.762),-0.894 (1.003)
H1_entropy,-18.865 (20.139),-71.071 (59.715),3.482 (2.112),0.622 (0.413),0.029 (0.019)
H1_skewness,-2.941 (4.760),-7.168 (14.114),0.671 (0.499),0.127 (0.098),0.005 (0.005)
H1_max_birth,-39.639 (50.614),-99.429 (150.080),9.197* (5.307),1.132 (1.038),0.077 (0.048)
H1_max_death,50.681 (63.481),192.904 (188.232),-9.749 (6.657),-0.933 (1.302),-0.071 (0.060)
H0_betti_peak,-0.763*** (0.177),-2.211*** (0.525),-0.005 (0.019),0.017*** (0.004),0.001*** (0.000)
H0_betti_location,-891.015** (407.244),-2728.644** (1207.556),22.855 (42.704),28.558*** (8.356),0.890** (0.385)
H0_betti_width,46.779 (78.971),176.500 (234.163),7.022 (8.281),1.612 (1.620),0.052 (0.075)
H0_betti_centroid,2365.259*** (835.251),7396.600*** (2476.676),-14.465 (87.585),-63.436*** (17.137),-1.959** (0.790)
H0_betti_spread,-1697.897** (814.234),-5637.019** (2414.357),5.691 (85.381),37.828** (16.706),1.021 (0.770)
H0_betti_trend,189.486 (115.264),325.047 (341.779),5.647 (12.087),-2.734 (2.365),-0.083 (0.109)
H1_betti_peak,-0.408 (0.299),-0.830 (0.886),-0.019 (0.031),-0.005 (0.006),-0.000 (0.000)
H1_betti_location,8.067 (12.404),36.552 (36.781),0.204 (1.301),-0.360 (0.255),-0.012 (0.012)
H1_betti_width,-8.955 (7.476),-29.476 (22.167),-1.706** (0.784),-0.160 (0.153),-0.006 (0.007)
H1_betti_centroid,15.598 (29.638),92.655 (87.883),-0.776 (3.108),0.373 (0.608),0.032 (0.028)
H1_betti_spread,-38.603 (53.440),-31.723 (158.461),13.424** (5.604),1.212 (1.096),0.066 (0.051)
H1_betti_trend,-3.010 (6.435),-18.374 (19.081),0.282 (0.675),0.279** (0.132),0.010* (0.006)
H0_landscape_mean,66.563** (32.439),172.701* (96.187),1.194 (3.402),-2.240*** (0.666),-0.065** (0.031)
H0_landscape_max,199.689** (97.316),518.102* (288.561),3.583 (10.205),-6.719*** (1.997),-0.195** (0.092)
H0_landscape_area,-1548.202 (1106.896),-3650.917 (3282.154),-38.511 (116.070),58.198** (22.711),1.609 (1.047)
H1_landscape_mean,-507.072 (318.093),-1614.740* (943.206),68.877** (33.355),14.785** (6.527),0.637** (0.301)
H1_landscape_max,-8.256 (25.540),-38.771 (75.731),2.853 (2.678),0.165 (0.524),0.005 (0.024)
H1_landscape_area,1159.488** (506.057),2905.365* (1500.554),-69.655 (53.065),-25.753** (10.383),-1.197** (0.479)
const,-1374.529*** (391.537),-4038.207*** (1160.979),15.276 (41.057),44.648*** (8.033),1.460*** (0.370)
